i,Date,Price,Open,High,Low,Vol.,Change %,u_i^2,sigma_i^2,#NAME?
50,09/22/2023,2.63,2.57,2.63,2.57,1.25B,2.41%,0.00058081,0.00007705,-3.424661963
51,09/21/2023,2.57,2.59,2.6,2.57,636.13M,-0.96%,0.00009216,0.00007735,2.92005697
52,09/20/2023,2.6,2.61,2.61,2.6,540.77M,-0.46%,0.00002116,0.00007627,3.840215177
53,09/19/2023,2.61,2.61,2.61,2.59,408.66M,0.00%,0,0.00007483,4.125930825
54,09/18/2023,2.61,2.59,2.61,2.58,511.56M,0.54%,0.00002916,0.00007398,3.736723381
55,09/15/2023,2.6,2.62,2.63,2.59,1.13B,-0.46%,0.00002116,0.00007302,3.846769153
56,09/14/2023,2.61,2.6,2.62,2.59,565.63M,0.27%,0.00000729,0.00007185,4.042116813
57,09/13/2023,2.6,2.61,2.62,2.58,661.50M,-0.31%,0.00000961,0.00007076,4.014413564
58,09/12/2023,2.61,2.61,2.62,2.6,308.62M,0.00%,0,0.00006954,4.157783619
59,09/11/2023,2.61,2.6,2.63,2.59,484.55M,0.65%,0.00004225,0.00006907,3.549024019
60,09/08/2023,2.6,2.6,2.61,2.59,516.85M,-0.57%,0.00003249,0.00006846,3.68998225
61,09/07/2023,2.61,2.63,2.63,2.61,448.85M,-0.99%,0.00009801,0.00006895,2.739989164
62,09/06/2023,2.64,2.63,2.64,2.62,452.24M,0.00%,0,0.00006784,4.168532747
63,09/05/2023,2.64,2.65,2.65,2.64,489.62M,-0.64%,0.00004096,0.00006741,3.563651916
64,09/04/2023,2.66,2.63,2.66,2.62,966.25M,1.84%,0.00033856,0.00007165,-0.580576539
65,09/01/2023,2.61,2.6,2.62,2.6,807.27M,0.77%,0.00005929,0.00007146,3.316225879
66,08/31/2023,2.59,2.6,2.61,2.58,551.37M,-0.35%,0.00001225,0.00007056,3.977830317
67,08/30/2023,2.6,2.61,2.62,2.6,666.36M,-0.27%,0.00000729,0.00006962,4.052575182
68,08/29/2023,2.61,2.59,2.63,2.59,1.08B,0.39%,0.00001521,0.00006882,3.94128767
69,08/28/2023,2.6,2.71,2.71,2.58,1.87B,1.29%,0.00016641,0.00007023,1.783977118
70,08/25/2023,2.56,2.55,2.58,2.54,789.97M,0.39%,0.00001521,0.00006944,3.93933987
71,08/24/2023,2.55,2.54,2.57,2.54,665.82M,0.71%,0.00005041,0.00006918,3.431323251
72,08/23/2023,2.54,2.56,2.57,2.53,988.12M,-1.25%,0.00015625,0.00007039,1.932593708
73,08/22/2023,2.57,2.56,2.58,2.54,950.80M,0.79%,0.00006241,0.00007028,3.265123247
